rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
391,False,3,3,0,205706742.43201533,1366.3999999999999,0
392,False,4,2,0,107392385.05186787,1308.0,0
393,False,0,6,0,217184869.49413726,450.20000000000005,0
394,False,3,3,0,127315041.18217556,566.0,0
395,False,5,1,0,313260212.0475962,1008.0,0
396,False,3,3,0,41071881.14456615,516.06,0
397,False,5,1,0,94657222.35949224,643.8,0
398,False,0,6,0,20882482.857958984,66.6,0
399,False,0,6,0,25958305.81879217,298.0,1
400,False,3,3,0,299759409.6879005,933.625,0
401,False,0,6,0,45491593.457512155,248.2,0
402,False,1,5,0,335495528.2060628,712.0,0
403,False,0,6,0,231831667.48270896,578.0,0
404,False,3,3,0,182968883.10735187,585.9,0
405,False,1,5,0,33355893.002565756,258.0,0
406,False,3,3,0,166424047.45089325,756.0840000000001,0
407,False,2,4,0,794049347.201584,1650.0,0
408,False,3,3,0,137861603.81610098,304.0,0
409,False,5,1,0,79439677.9821431,556.0,0
410,False,0,6,0,256614306.89422855,847.5,0
411,False,2,4,0,83765827.49175982,296.1,0
412,False,6,0,0,39232629.599513546,229.0,-1
413,False,1,5,0,255316790.65005472,2750.7,0
414,False,0,6,0,38880239.63016053,243.0,1
415,False,6,0,0,17977885.05015785,104.1,-1
416,False,6,0,0,28186278.726701785,289.50800000000004,-1
417,False,0,6,0,22426835.546578765,110.8,0
418,False,5,1,0,558805770.1978412,2050.0,0
419,False,6,0,0,13991758.213464841,125.75,-1
420,False,5,1,0,43448882.3860813,265.6,1
421,False,0,6,0,221742811.50901505,714.976,0
422,False,0,6,0,147294226.64509177,1270.6,0
423,False,0,6,0,225024668.89210603,528.4,0
424,False,6,0,0,23393955.823502313,132.9,-1
425,False,5,1,0,76022734.74778204,970.1,0
426,False,4,2,0,70475909.90689127,240.1,0
427,False,0,6,0,122620977.78155755,371.45,0
428,False,2,4,0,143444038.22257814,328.0,0
429,False,0,6,0,88595497.15210785,282.6,0
430,False,5,1,0,133893848.95370664,342.0,0
431,False,5,1,0,26550696.162490238,218.1,2
432,False,6,0,0,17540509.335192654,112.3,-1
433,False,1,5,0,261894537.89615804,829.0,0
434,False,1,5,0,118269093.85553922,338.65,0
435,False,5,1,0,80125235.65103309,365.0,0
436,False,2,4,0,80346243.33550474,177.3,0
437,False,5,1,0,111235839.41803367,496.2,0
438,False,5,1,0,49149698.3613514,539.85,2
439,False,5,1,0,216221088.91847718,694.0,0
440,False,1,5,0,161280798.381995,688.2750000000001,0
441,False,5,1,0,89797153.343992,328.7,0
442,False,4,2,0,161900856.87027895,580.9599999999999,0
443,False,0,6,0,246423137.59461665,2178.6,0
444,False,0,6,0,526347550.0946009,1449.9,0
445,False,6,0,0,22318705.037760727,149.94,-1
446,False,3,3,0,291613433.5045301,561.5,0
447,False,5,1,0,176429160.8345708,979.51,0
448,False,3,3,0,85671834.39349006,996.4,0
449,False,4,2,0,166410636.70912993,376.82,0
450,False,1,5,0,287412771.67947894,661.3,0
451,False,4,2,0,17135721.726141468,150.4,7
452,False,5,1,0,45516316.982121445,269.0,0
453,False,4,2,0,101944073.72239667,563.05,0
454,False,6,0,0,60981908.3874349,144.18,-1
455,False,6,0,0,71271202.70413853,201.0,-1
456,False,6,0,0,21527665.16817518,184.1,-1
457,False,5,1,0,131145409.81325915,361.0,0
458,False,6,0,0,7406601.901193631,71.09,-1
459,False,6,0,0,10489326.713406652,109.0,-1
460,False,3,3,0,27838340.134433243,341.76,1
461,False,0,6,0,146726180.1115367,441.4,0
462,False,0,6,0,64266290.806411356,851.9,0
463,False,5,1,0,106783415.14406191,988.3,0
464,False,3,3,0,210372969.89540285,895.0,0
465,False,0,6,0,259868315.12830332,467.95,0
466,False,5,1,0,76279824.79876572,825.0,0
467,False,2,4,0,109155166.81752609,434.4,0
468,False,2,4,0,895808466.6703998,2580.425,0
469,False,0,6,0,98116935.9242759,341.3,0
470,False,2,4,0,137798269.31324625,516.4,0
471,False,3,3,0,215229350.79902685,898.75,0
472,False,0,6,0,63560217.23655867,757.2,0
473,False,0,6,0,142594393.1938867,772.4,0
474,False,5,1,0,94592113.45111167,715.4,0
475,False,3,3,0,145314668.14609116,2028.9,0
476,False,3,3,0,230844328.9629328,544.9,0
477,False,4,2,0,104655622.0107643,340.5,0
478,False,3,3,0,495357637.5875545,1084.1,0
479,False,4,2,0,58126603.14657122,572.25,0
480,False,0,6,0,26558853.303080916,89.4,0
481,False,4,2,0,64563151.88149838,254.615,0
482,False,0,6,0,870362818.9612632,1703.972,0
483,False,2,4,0,405575080.02697307,869.5,0
484,False,4,2,0,135535527.86005735,661.1,0
485,False,2,4,0,213712166.95239142,1024.7,0
486,False,0,6,0,149604063.82430688,425.1,0
487,False,0,6,0,29247102.178061333,341.0,0
488,False,6,0,0,49831575.14489079,565.0,-1
489,False,2,4,0,200514402.75866768,525.2,0
490,False,4,2,0,85778830.0238364,358.0,3
